6001,California,Alameda
6003,California,Alpine
6005,California,Amador
6007,California,Butte
6009,California,Calaveras
6011,California,Colusa
6013,California,Contra
6015,California,Del Norte
6017,California,El Dorado
6019,California,Fresno
6021,California,Glenn
6023,California,Humboldt
6025,California,Imperial
6027,California,Inyo
6029,California,Kern
6031,California,Kings
6033,California,Lake
6035,California,Lassen
6037,California,Los Angeles
6039,California,Madera
6041,California,Marin
6043,California,Mariposa
6045,California,Mendocino
6047,California,Merced
6049,California,Modoc
6051,California,Mono
6053,California,Monterey
6055,California,Napa
6057,California,Nevada
6059,California,Orange
6061,California,Placer
6063,California,Plumas
6065,California,Riverside
6067,California,Sacramento
6069,California,San Benito
6071,California,San Bernardino
6073,California,San Diego
6075,California,San Francisco
6077,California,San Joaquin
6079,California,San Luis Obispo
6081,California,San Mateo
6083,California,Santa Barbara
6085,California,Santa Clara
6087,California,Santa Cruz
6089,California,Shasta
6091,California,Sierra
6093,California,Siskiyou
6095,California,Solano
6097,California,Sonoma
6099,California,Stanislaus
6101,California,Sutter
6103,California,Tehama
6105,California,Trinity
6107,California,Tulare
6109,California,Tuolumne
6111,California,Ventura
6113,California,Yolo
6115,California,Yuba
